             ╭------------------------------------╮
        Name | Angry Locksmith                    |
             | HAS THE CODE                       |
             | Once per heist, you may Reveal all |
             |  tiles adjacent  to a known Live C |
             | amera.                             |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Burglar                            |
   Archetype | Mover                              |
       Level | 1                                  |
      Memory | 8                                  |
       Ideas | 2                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Dart                               |
    Default3 | Hesitate                           |
             | 💡                                  |
    LevelUp1 | Sewer Rat                          |
    LevelUp2 | Grease Man                         |
     Special | DART                               |
             | Use this action to spend           |
             | 💡for 🔊➜➜                           |
LevelUp1Desc | +1 ⬢                               |
             | +4 Initial 💡                       |
             |                                    |
             | +SEWER CRAWL                       |
LevelUp2Desc | +4 ⬢                               |
             |                                    |
             | DART⇒                              |
             | BOLT                               |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Sewer Rat                          |
   Archetype | Mover                              |
       Level | 2                                  |
      Memory | 9                                  |
       Ideas | 4                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Dart                               |
    Default3 | Hesitate                           |
             | 💡                                  |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | DART                               |
             | Use this action to spend           |
             | 💡for 🔊➜➜                           |
             |                                    |
             | SEWER CRAWL                        |
             | For 🔊🔊⚠, may treat a tile directly |
             |  across 1 non-tiled gap as adjacen |
             | t.                                 |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Grease Man                         |
   Archetype | Mover                              |
       Level | 2                                  |
      Memory | 12                                 |
       Ideas | 2                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Bolt                               |
    Default3 | Hesitate                           |
             | 💡                                  |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | BOLT                               |
             | Use this action to spend           |
             | 💡for 🔊➜➜,                          |
             | or 💡💡 for 🔊➜➜➜                     |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Lookout                            |
   Archetype | Support                            |
       Level | 1                                  |
      Memory | 6                                  |
       Ideas | 3                                  |
    Default1 | Run                                |
             | 🔊🔊➜➜                               |
    Default2 | Report                             |
             | 💡🔍🔊                                |
    Default3 |                                    |
    LevelUp1 | Watchman                           |
    LevelUp2 | Sentinel                           |
     Special | VANTAGE POINT                      |
             | May 🔍 once per turn if outdoors    |
             |                                    |
             | GOOD IN A PINCH                    |
             | During Escape, may spend           |
             | 💡💡 to give 💡 to any character, one |
             |  time.                             |
LevelUp1Desc | +3 ⬢                               |
             | +1 Initial 💡                       |
             |                                    |
             | GOOD IN A PINCH⇒                   |
             | GREAT IN A PINCH                   |
LevelUp2Desc | +2 ⬢                               |
             |                                    |
             | +PLANNER                           |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Watchman                           |
   Archetype | Support                            |
       Level | 2                                  |
      Memory | 9                                  |
       Ideas | 4                                  |
    Default1 | Run                                |
             | 🔊🔊➜➜                               |
    Default2 | Report                             |
             | 💡🔍🔊                                |
    Default3 | Walk                               |
             | 🔊➜                                 |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | VANTAGE POINT                      |
             | May 🔍 once per turn if outdoors    |
             |                                    |
             | GREAT IN A PINCH                   |
             | During Escape, may spend           |
             | 💡💡 to give 💡 to any character, any |
             |  number of times.                  |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Sentinel                           |
   Archetype | Support                            |
       Level | 2                                  |
      Memory | 8                                  |
       Ideas | 3                                  |
    Default1 | Run                                |
             | 🔊🔊➜➜                               |
    Default2 | Report                             |
             | 💡🔍🔊                                |
    Default3 | Walk                               |
             | 🔊➜                                 |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | VANTAGE POINT                      |
             | May 🔍 once per turn if outdoors    |
             |                                    |
             | GOOD IN A PINCH                    |
             | During Escape, may spend           |
             | 💡💡 to give 💡 to any character, one |
             |  time.                             |
             |                                    |
             | PLANNER                            |
             | During planning, add two triple-💡  |
             | tokens to the security bag.        |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Pickpocket                         |
   Archetype | Looter                             |
       Level | 1                                  |
      Memory | 7                                  |
       Ideas | 2                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Hit                                |
             | 👊🔊                                 |
    Default3 |                                    |
    LevelUp1 | Con Artist                         |
    LevelUp2 | Thief                              |
     Special | LARCENIST                          |
             | For 💡, you may pick up items in an |
             |  adjacent, not locked tile as if i |
             | t were on your tile for the rest o |
             | f the phase.                       |
LevelUp1Desc | +1 ⬢                               |
             | +1 Initial 💡                       |
             |                                    |
             | LARCENIST⇒                         |
             | SWINDLER                           |
             |                                    |
             | +TOSS LOOT                         |
LevelUp2Desc | +2 ⬢                               |
             | +1 Initial 💡                       |
             |                                    |
             | Walk🔊➜⇒                            |
             | Disable📷🔊➜                         |
             |                                    |
             | +Spy Stuff🔓👊🔊                      |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Con Artist                         |
   Archetype | Looter                             |
       Level | 2                                  |
      Memory | 8                                  |
       Ideas | 2                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Hit                                |
             | 👊🔊                                 |
    Default3 | Toss Loot                          |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | SWINDLER                           |
             | For 💡, you may pick up or drop ite |
             | ms in an adjacent, not locked tile |
             |  as if it were on your tile for th |
             | e rest of the phase.               |
             |                                    |
             | TOSS LOOT                          |
             | Use this action to place any of yo |
             | ur loot up to two tiles away in a  |
             | single direction. You may not toss |
             |  over locked tiles or gaps.        |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Thief                              |
   Archetype | Looter                             |
       Level | 2                                  |
      Memory | 9                                  |
       Ideas | 3                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Hit                                |
             | 👊🔊                                 |
    Default3 |                                    |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | LARCENIST                          |
             | For 💡, you may pick up items in an |
             |  adjacent, not locked tile as if i |
             | t were on your tile for the rest o |
             | f the phase.                       |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Shutter Bug                        |
   Archetype | Surveillance                       |
       Level | 1                                  |
      Memory | 7                                  |
       Ideas | 3                                  |
    Default1 | Walk                               |
             | 🔊➜                                 |
    Default2 | Smash                              |
             | 📷🔊🔊➜                               |
    Default3 | Patch In                           |
    LevelUp1 | Technician                         |
    LevelUp2 | Tinkerer                           |
     Special | PATCH IN                           |
             | When adjacent to a live camera, us |
             | e this action for 💡💡🔍🔊             |
LevelUp1Desc | +2 ⬢                               |
             | + 1 Initial 💡                      |
             |                                    |
             | Walk & Smash⇒                      |
             | Disable📷🔊➜                         |
             |                                    |
             | +Loop Footage                      |
LevelUp2Desc | +2 ⬢                               |
             | +2 Initial 💡                       |
             | +Follower                          |
             |                                    |
             | Walk🔊➜⇒                            |
             | Spy Stuff🔓👊🔊                       |
             |                                    |
             | Smash📷🔊🔊➜⇒                         |
             | Short📷📷🔊                           |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Technician                         |
   Archetype | Surveillance                       |
       Level | 2                                  |
      Memory | 9                                  |
       Ideas | 4                                  |
    Default1 | Disable                            |
             | 📷🔊➜                                |
    Default2 | Loop Footage                       |
    Default3 | Patch In                           |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | LOOP FOOTAGE                       |
             | For 💡💡, use this action to allow a |
             | ll characters to avoid raising ⚠ d |
             | ue to cameras this action phase an |
             | d event phase.                     |
             |                                    |
             | PATCH IN                           |
             | When adjacent to a live camera, us |
             | e this action for 💡💡🔍🔊             |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
             ╭------------------------------------╮
        Name | Tinkerer                           |
   Archetype | Surveillance                       |
       Level | 2                                  |
      Memory | 9                                  |
       Ideas | 5                                  |
    Default1 | Spy Stuff                          |
             | 🔓👊🔊                                |
    Default2 | Short                              |
             | 📷📷🔊                                |
    Default3 | Patch In                           |
    LevelUp1 |                                    |
    LevelUp2 |                                    |
     Special | FOLLOWER                           |
             | For 💡, may 🔊➜ as long as the desti |
             | nation of the move has another cha |
             | racter at the time of the move.    |
             |                                    |
             | PATCH IN                           |
             | When adjacent to a live camera, us |
             | e this action for 💡💡🔍🔊             |
LevelUp1Desc |                                    |
LevelUp2Desc |                                    |
             ╰------------------------------------╯
